epoch 1 pred_counts: {1: 11762, 11: 11023, 2: 7606, 7: 1028, 0: 13749, 12: 12306, 10: 3722, 8: 23260, 4: 5511, 3: 4421, 9: 1872, 13: 2041, 6: 11} conf_thresh=0.001
epoch 2 pred_counts: {4: 787, 6: 4715, 0: 2213, 5: 7458, 3: 2280, 2: 3537, 13: 965, 1: 2075, 8: 1837, 9: 2446, 7: 2139, 12: 2135, 11: 2275, 10: 1257} conf_thresh=0.001
epoch 3 pred_counts: {4: 957, 0: 1415, 9: 3228, 7: 2460, 6: 1564, 8: 292, 1: 549, 12: 983, 13: 1196, 3: 984, 5: 3256, 10: 1042, 11: 1499, 2: 263} conf_thresh=0.001
epoch 4 pred_counts: {4: 503, 0: 861, 7: 1908, 6: 672, 12: 1592, 13: 741, 5: 2730, 9: 853, 11: 883, 1: 503, 2: 1176, 3: 701, 10: 691, 8: 289} conf_thresh=0.001
epoch 5 pred_counts: {4: 353, 12: 2276, 6: 1116, 13: 1527, 11: 1642, 10: 706, 1: 983, 5: 2990, 7: 1155, 9: 441, 0: 961, 2: 1316, 3: 550, 8: 166} conf_thresh=0.001
epoch 6 pred_counts: {4: 1307, 10: 1593, 9: 916, 0: 1803, 7: 1974, 13: 702, 6: 613, 8: 355, 5: 934, 1: 810, 3: 1021, 2: 1330, 11: 1121, 12: 196} conf_thresh=0.001
epoch 7 pred_counts: {4: 302, 9: 2203, 7: 684, 13: 769, 0: 1456, 5: 1083, 10: 584, 6: 1181, 3: 1726, 2: 1513, 1: 641, 11: 1276, 8: 664, 12: 806} conf_thresh=0.001
epoch 8 pred_counts: {4: 1319, 9: 1016, 6: 733, 13: 934, 7: 1028, 0: 1545, 8: 1124, 10: 759, 3: 1534, 12: 1427, 2: 2001, 1: 625, 11: 1013, 5: 1175} conf_thresh=0.001
epoch 9 pred_counts: {4: 407, 9: 1120, 7: 1474, 10: 826, 1: 1369, 3: 2206, 5: 1302, 8: 1213, 0: 1165, 6: 739, 2: 2274, 12: 963, 13: 830, 11: 1262} conf_thresh=0.001
epoch 10 pred_counts: {4: 529, 9: 1165, 6: 879, 7: 1014, 0: 694, 5: 1425, 8: 734, 2: 743, 1: 439, 10: 442, 3: 267, 11: 762, 13: 466, 12: 847} conf_thresh=0.01
epoch 11 pred_counts: {4: 658, 9: 1409, 10: 534, 5: 945, 0: 545, 6: 551, 7: 634, 13: 521, 2: 676, 11: 825, 8: 430, 1: 419, 3: 743, 12: 199} conf_thresh=0.01
