epoch 1 pred_counts: {4: 4222, 7: 12476, 13: 28769, 8: 48085, 0: 42286, 10: 2060, 2: 3153, 1: 55811, 9: 3453, 3: 8985, 11: 42, 12: 3} conf_thresh=0.001
epoch 2 pred_counts: {4: 783, 6: 12005, 9: 6100, 0: 3054, 7: 2493, 11: 4335, 2: 620, 12: 2415, 5: 7292, 3: 3185, 8: 1456, 1: 845, 10: 243, 13: 416} conf_thresh=0.001
epoch 3 pred_counts: {4: 553, 7: 3290, 0: 1370, 9: 4619, 6: 2534, 8: 901, 5: 3071, 10: 2273, 3: 1220, 1: 493, 12: 1336, 11: 2632, 13: 662, 2: 103} conf_thresh=0.001
epoch 4 pred_counts: {4: 620, 6: 1820, 5: 3842, 7: 2770, 0: 1575, 12: 2551, 8: 441, 9: 1080, 3: 1582, 2: 582, 1: 859, 13: 778, 11: 1600, 10: 585} conf_thresh=0.001
epoch 5 pred_counts: {4: 784, 0: 2001, 9: 1663, 7: 1880, 8: 932, 3: 2988, 5: 2993, 6: 965, 2: 328, 1: 567, 13: 747, 10: 131, 11: 1012, 12: 1044} conf_thresh=0.001
epoch 6 pred_counts: {4: 634, 5: 2941, 0: 1412, 6: 1125, 8: 1516, 1: 1447, 10: 1653, 7: 1336, 9: 1157, 12: 897, 2: 1152, 3: 534, 13: 698, 11: 1453} conf_thresh=0.001
epoch 7 pred_counts: {4: 1325, 7: 1456, 9: 714, 2: 3852, 0: 1220, 5: 2689, 3: 622, 8: 1224, 1: 659, 6: 369, 10: 352, 13: 918, 11: 597, 12: 728} conf_thresh=0.001
epoch 8 pred_counts: {4: 396, 6: 1494, 9: 665, 7: 1222, 1: 1214, 3: 1315, 8: 1106, 10: 826, 11: 1047, 5: 2507, 0: 738, 2: 2542, 12: 1442, 13: 400} conf_thresh=0.001
epoch 9 pred_counts: {4: 223, 10: 1857, 9: 1564, 5: 447, 6: 518, 0: 1244, 13: 1434, 11: 1738, 7: 804, 2: 1494, 12: 1832, 1: 365, 8: 699, 3: 1377} conf_thresh=0.001
epoch 10 pred_counts: {4: 479, 6: 1660, 9: 1090, 1: 723, 5: 1152, 0: 675, 8: 1192, 7: 441, 13: 557, 11: 880, 10: 1078, 3: 858, 2: 764, 12: 465} conf_thresh=0.01
epoch 11 pred_counts: {4: 256, 13: 1450, 1: 1384, 6: 703, 9: 510, 7: 408, 3: 575, 8: 820, 10: 614, 2: 275, 11: 655, 5: 528, 0: 113, 12: 367} conf_thresh=0.01
epoch 12 pred_counts: {4: 205, 6: 280, 5: 696, 12: 1154, 8: 1674, 7: 739, 13: 955, 3: 390, 9: 582, 1: 687, 11: 1014, 0: 393, 2: 394, 10: 157} conf_thresh=0.01
epoch 13 pred_counts: {4: 249, 6: 767, 8: 825, 9: 1435, 7: 903, 2: 828, 1: 669, 3: 503, 0: 453, 10: 277, 11: 776, 5: 356, 12: 439, 13: 369} conf_thresh=0.01
epoch 14 pred_counts: {4: 229, 6: 499, 7: 775, 9: 420, 5: 743, 3: 348, 11: 1116, 8: 354, 0: 318, 2: 975, 10: 586, 13: 591, 1: 310, 12: 612} conf_thresh=0.01
epoch 15 pred_counts: {4: 264, 6: 257, 7: 836, 13: 862, 9: 444, 8: 554, 5: 236, 3: 387, 10: 791, 0: 213, 1: 316, 2: 559, 12: 471, 11: 350} conf_thresh=0.01
epoch 16 pred_counts: {4: 293, 6: 945, 9: 749, 7: 771, 5: 675, 3: 702, 8: 367, 2: 449, 0: 228, 13: 445, 10: 197, 1: 249, 11: 483, 12: 348} conf_thresh=0.01
epoch 17 pred_counts: {7: 1542, 4: 246, 6: 748, 8: 772, 9: 627, 2: 463, 0: 630, 10: 338, 3: 179, 13: 428, 5: 387, 11: 329, 1: 307, 12: 415} conf_thresh=0.01
epoch 18 pred_counts: {4: 149, 6: 639, 9: 512, 5: 780, 7: 819, 8: 352, 0: 224, 2: 323, 3: 349, 1: 305, 10: 262, 11: 481, 13: 302, 12: 341} conf_thresh=0.01
epoch 19 pred_counts: {4: 208, 6: 436, 9: 777, 7: 1141, 3: 566, 2: 463, 8: 487, 11: 588, 10: 298, 5: 311, 0: 182, 1: 346, 13: 383, 12: 340} conf_thresh=0.01
