epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,79.6832,0.47253,2.58054,1.01941,0.84644,0.90391,0.97904,0.96465,0.23155,0.84488,0.85554,0.00997389,0.00332463,0.00997389,0.00332463,0.00997389,0.00332463,0.00997389,0.00332463
2,144.109,0.45021,0.97796,0.97862,0.94611,0.96422,0.99443,0.98124,0.24102,0.56156,0.83067,0.019875,0.00662501,0.019875,0.00662501,0.019875,0.00662501,0.019875,0.00662501
3,192.8,0.48407,0.84056,0.97855,0.93102,0.92076,0.97897,0.96396,0.25229,0.6023,0.83624,0.0296771,0.00989238,0.0296771,0.00989238,0.0296771,0.00989238,0.0296771,0.00989238
4,243.575,0.47558,0.79119,0.97266,0.89093,0.92107,0.97661,0.96192,0.24559,0.71131,0.83686,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,300.641,0.42695,0.66165,0.95867,0.98168,0.98232,0.98962,0.9676,0.26001,0.37725,0.85616,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,355.623,0.39402,0.57786,0.94588,0.99438,0.99989,0.99447,0.94311,0.28899,0.32136,0.88328,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,408.378,0.37109,0.52392,0.93855,0.97377,0.91783,0.98863,0.98262,0.21518,0.44039,0.82395,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,463.253,0.35234,0.47904,0.93242,0.99655,0.99692,0.995,0.98652,0.21084,0.24599,0.83003,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,509.988,0.33905,0.45833,0.9297,0.99864,0.99991,0.995,0.99242,0.1561,0.17908,0.81201,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,567.654,0.32276,0.43466,0.92146,0.99923,1,0.995,0.99354,0.15898,0.17076,0.80926,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,624.109,0.31345,0.40507,0.91861,0.99237,0.99633,0.995,0.98829,0.16527,0.19722,0.81804,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,683.937,0.31104,0.39442,0.92103,0.99808,0.9995,0.995,0.99216,0.1518,0.15767,0.80743,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,742.994,0.30295,0.37432,0.91453,0.99842,1,0.995,0.9941,0.13608,0.15885,0.80402,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,803.874,0.2937,0.35662,0.91305,0.99256,0.98864,0.99498,0.99455,0.13931,0.16775,0.80488,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,866.146,0.28495,0.35561,0.9107,0.9991,0.99914,0.995,0.99422,0.12449,0.1298,0.80293,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,921.337,0.28704,0.34251,0.90915,0.99896,1,0.995,0.99387,0.14968,0.20287,0.81173,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,982.826,0.27841,0.32763,0.90626,0.99945,1,0.995,0.99481,0.13699,0.12053,0.80304,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1042.52,0.2744,0.3254,0.90752,0.999,1,0.995,0.99434,0.13551,0.12858,0.8044,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1098.72,0.26638,0.32154,0.90338,0.99928,1,0.995,0.99442,0.12464,0.14484,0.80459,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1153.84,0.26606,0.31168,0.90485,0.99937,1,0.995,0.99486,0.13363,0.13855,0.80423,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1210.48,0.26413,0.30846,0.90496,0.99911,1,0.995,0.99479,0.10938,0.11483,0.80199,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1265.91,0.25661,0.29949,0.90209,0.99949,1,0.995,0.99474,0.12341,0.12456,0.80212,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1321.54,0.25557,0.29806,0.90216,0.9991,0.99986,0.995,0.99452,0.11615,0.12368,0.80101,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
