epoch 1 pred_counts: {6: 14766, 5: 7012, 11: 2110, 4: 32177, 8: 11249, 10: 13592, 9: 5137, 2: 2159, 7: 455, 13: 587, 12: 670, 3: 23, 1: 335, 0: 1} conf_thresh=0.001
epoch 2 pred_counts: {13: 2554, 4: 727, 0: 2855, 12: 1870, 6: 1756, 1: 742, 10: 1705, 2: 1856, 5: 3584, 11: 957, 8: 1314, 7: 711, 9: 104, 3: 35} conf_thresh=0.001
epoch 3 pred_counts: {4: 2353, 13: 1387, 10: 1744, 5: 2326, 6: 2270, 0: 1940, 2: 3335, 9: 2212, 3: 3747, 7: 866, 8: 1394, 1: 976, 12: 1484, 11: 380} conf_thresh=0.001
epoch 4 pred_counts: {6: 2339, 13: 1084, 1: 2155, 0: 876, 10: 1300, 9: 1388, 5: 2583, 12: 1069, 7: 1383, 8: 652, 4: 258, 3: 3477, 11: 1397, 2: 82} conf_thresh=0.001
epoch 5 pred_counts: {4: 2370, 6: 2343, 7: 2408, 5: 3464, 2: 4028, 9: 3986, 12: 1294, 8: 440, 3: 935, 11: 1006, 13: 960, 1: 841, 0: 950, 10: 700} conf_thresh=0.001
epoch 6 pred_counts: {6: 1533, 9: 3457, 7: 3187, 0: 1834, 5: 4353, 10: 1384, 13: 2112, 1: 823, 4: 77, 8: 2672, 11: 3038, 12: 999, 3: 1148, 2: 807} conf_thresh=0.001
epoch 7 pred_counts: {4: 2577, 6: 1371, 5: 3681, 7: 3160, 9: 2235, 13: 1616, 8: 2152, 10: 1049, 2: 2047, 11: 1423, 0: 335, 3: 160, 12: 1182, 1: 290} conf_thresh=0.001
epoch 8 pred_counts: {4: 443, 5: 3095, 6: 3791, 10: 1512, 3: 2889, 9: 1722, 7: 2464, 0: 1692, 8: 2344, 12: 2083, 2: 1100, 11: 2643, 1: 322, 13: 1137} conf_thresh=0.001
epoch 9 pred_counts: {4: 4467, 6: 2846, 9: 2943, 8: 1805, 7: 4345, 0: 1063, 3: 2521, 5: 1622, 10: 1697, 1: 738, 2: 810, 11: 727, 12: 1703, 13: 219} conf_thresh=0.001
epoch 10 pred_counts: {4: 1188, 8: 1082, 9: 2523, 6: 1899, 7: 3895, 0: 467, 12: 404, 5: 683, 11: 508, 10: 536, 3: 152, 2: 724, 13: 571, 1: 294} conf_thresh=0.01
epoch 11 pred_counts: {4: 400, 6: 880, 9: 1320, 7: 894, 5: 639, 8: 767, 10: 746, 11: 1464, 12: 784, 13: 732, 3: 679, 0: 534, 2: 696, 1: 381} conf_thresh=0.01
epoch 12 pred_counts: {4: 599, 9: 1378, 5: 1128, 7: 825, 6: 1306, 10: 617, 13: 737, 8: 343, 2: 1000, 0: 917, 11: 1094, 1: 611, 12: 823, 3: 846} conf_thresh=0.01
epoch 13 pred_counts: {4: 368, 5: 1048, 6: 875, 7: 974, 3: 360, 10: 411, 8: 571, 13: 456, 9: 757, 0: 412, 11: 417, 12: 609, 1: 443, 2: 262} conf_thresh=0.01
epoch 14 pred_counts: {4: 151, 7: 790, 6: 1266, 9: 1098, 8: 888, 3: 1568, 12: 786, 1: 865, 0: 566, 11: 747, 5: 317, 10: 200, 2: 315, 13: 221} conf_thresh=0.01
epoch 15 pred_counts: {4: 280, 6: 1006, 7: 762, 8: 662, 5: 620, 3: 956, 9: 950, 12: 587, 1: 546, 13: 524, 10: 399, 0: 329, 11: 738, 2: 388} conf_thresh=0.01
epoch 16 pred_counts: {4: 526, 5: 703, 6: 660, 8: 697, 10: 512, 9: 1057, 7: 538, 1: 609, 0: 487, 3: 628, 13: 438, 11: 688, 12: 566, 2: 328} conf_thresh=0.01
epoch 17 pred_counts: {4: 343, 5: 718, 6: 847, 8: 796, 7: 682, 9: 641, 3: 767, 11: 721, 1: 515, 0: 275, 10: 297, 12: 580, 2: 354, 13: 468} conf_thresh=0.01
epoch 18 pred_counts: {4: 436, 6: 785, 3: 700, 9: 931, 5: 648, 7: 898, 8: 373, 1: 612, 10: 428, 11: 410, 0: 327, 12: 516, 13: 408, 2: 254} conf_thresh=0.01
epoch 19 pred_counts: {4: 403, 6: 691, 8: 689, 5: 486, 3: 898, 9: 810, 7: 713, 1: 511, 0: 474, 10: 397, 11: 655, 12: 516, 13: 490, 2: 301} conf_thresh=0.01
epoch 20 pred_counts: {4: 507, 6: 619, 8: 776, 3: 664, 7: 892, 5: 438, 9: 868, 1: 521, 11: 626, 13: 484, 10: 394, 0: 334, 12: 411, 2: 249} conf_thresh=0.01
epoch 21 pred_counts: {4: 469, 6: 695, 8: 820, 7: 808, 10: 417, 9: 646, 3: 467, 1: 536, 5: 599, 13: 476, 12: 495, 11: 581, 0: 163, 2: 308} conf_thresh=0.01
epoch 22 pred_counts: {4: 440, 5: 587, 8: 765, 6: 452, 7: 604, 9: 774, 1: 495, 12: 633, 13: 466, 0: 278, 3: 490, 11: 579, 10: 385, 2: 347} conf_thresh=0.01
epoch 23 pred_counts: {4: 377, 8: 790, 5: 524, 6: 645, 7: 835, 9: 755, 1: 578, 11: 604, 0: 505, 3: 361, 12: 504, 10: 433, 13: 380, 2: 265} conf_thresh=0.01
epoch 24 pred_counts: {4: 423, 5: 352, 8: 777, 6: 580, 9: 683, 7: 706, 1: 545, 13: 492, 3: 454, 12: 457, 11: 517, 0: 142, 10: 392, 2: 254} conf_thresh=0.01
epoch 25 pred_counts: {4: 296, 8: 850, 5: 412, 6: 563, 7: 653, 9: 589, 1: 590, 13: 509, 3: 434, 11: 477, 12: 425, 0: 233, 10: 350, 2: 246} conf_thresh=0.01
epoch 26 pred_counts: {4: 273, 8: 979, 6: 597, 5: 454, 7: 706, 9: 681, 1: 571, 0: 255, 3: 597, 11: 478, 12: 462, 13: 459, 10: 332, 2: 227} conf_thresh=0.01
epoch 27 pred_counts: {4: 261, 8: 992, 6: 519, 7: 633, 9: 584, 1: 568, 0: 310, 3: 635, 11: 486, 13: 412, 5: 441, 10: 381, 12: 429, 2: 230} conf_thresh=0.01
epoch 28 pred_counts: {4: 264, 8: 878, 6: 490, 7: 556, 5: 502, 3: 582, 9: 561, 1: 608, 0: 314, 11: 486, 10: 401, 12: 436, 2: 282, 13: 349} conf_thresh=0.01
