epoch 1 pred_counts: {13: 9486, 3: 8217, 1: 10216, 10: 13026, 11: 144, 7: 7492, 2: 8343, 5: 1673, 0: 444, 8: 54914, 12: 20912, 4: 17, 6: 27} conf_thresh=0.001
epoch 2 pred_counts: {4: 802, 13: 2039, 0: 2410, 5: 5868, 7: 1163, 6: 1971, 10: 1431, 8: 809, 9: 1006, 11: 1562, 1: 897, 3: 1219, 2: 71, 12: 363} conf_thresh=0.001
epoch 3 pred_counts: {4: 361, 0: 1898, 13: 1558, 5: 2861, 6: 2030, 1: 1351, 9: 1631, 7: 1532, 10: 1677, 12: 808, 8: 1224, 11: 1000, 2: 1313, 3: 6} conf_thresh=0.001
epoch 4 pred_counts: {4: 1878, 6: 2473, 5: 2773, 1: 897, 0: 1379, 10: 2302, 9: 1741, 7: 1002, 13: 1283, 8: 1704, 2: 2713, 12: 885, 3: 395, 11: 1212} conf_thresh=0.001
epoch 5 pred_counts: {12: 4713, 6: 2413, 4: 745, 0: 321, 11: 1640, 1: 743, 13: 689, 9: 1011, 7: 665, 8: 504, 5: 2415, 2: 1198, 3: 1752, 10: 306} conf_thresh=0.001
epoch 6 pred_counts: {8: 3213, 4: 1522, 7: 1918, 0: 1169, 13: 1584, 9: 1865, 3: 2269, 6: 1245, 5: 4150, 1: 940, 2: 948, 10: 829, 12: 1435, 11: 1098} conf_thresh=0.001
epoch 7 pred_counts: {4: 984, 7: 3573, 6: 1031, 10: 2032, 12: 3873, 9: 1958, 2: 2025, 0: 1615, 13: 1827, 3: 774, 8: 462, 11: 1783, 1: 258, 5: 711} conf_thresh=0.001
epoch 8 pred_counts: {9: 3704, 6: 1364, 1: 990, 0: 1241, 4: 323, 13: 1568, 8: 1807, 5: 1598, 7: 1233, 12: 2348, 10: 1291, 2: 1414, 3: 819, 11: 727} conf_thresh=0.001
epoch 9 pred_counts: {1: 2600, 11: 4343, 7: 3348, 0: 1035, 6: 1239, 4: 351, 12: 3043, 9: 3018, 10: 1013, 13: 1696, 8: 183, 3: 623, 2: 939, 5: 306} conf_thresh=0.001
epoch 10 pred_counts: {4: 549, 6: 1868, 13: 1419, 9: 2279, 10: 1838, 7: 1552, 0: 2113, 2: 1372, 8: 2377, 12: 1378, 1: 742, 3: 1467, 5: 572, 11: 1284} conf_thresh=0.01
epoch 11 pred_counts: {4: 375, 6: 1046, 7: 743, 5: 457, 8: 1028, 9: 598, 12: 964, 1: 507, 3: 188, 10: 292, 0: 421, 11: 692, 2: 464, 13: 528} conf_thresh=0.01
epoch 12 pred_counts: {4: 522, 5: 1091, 7: 912, 13: 2047, 6: 388, 10: 428, 3: 229, 9: 704, 0: 585, 11: 906, 8: 374, 12: 1065, 1: 205, 2: 199} conf_thresh=0.01
epoch 13 pred_counts: {6: 831, 4: 220, 5: 1777, 9: 529, 10: 240, 7: 695, 8: 650, 3: 359, 2: 803, 13: 613, 0: 488, 12: 632, 1: 283, 11: 493} conf_thresh=0.01
epoch 14 pred_counts: {4: 351, 6: 659, 5: 1035, 10: 2084, 8: 759, 2: 930, 9: 729, 1: 763, 3: 1057, 7: 708, 0: 700, 13: 553, 12: 782, 11: 799} conf_thresh=0.01
epoch 15 pred_counts: {4: 339, 6: 813, 7: 727, 8: 954, 0: 456, 13: 947, 9: 656, 1: 515, 2: 544, 11: 787, 3: 522, 10: 239, 5: 572, 12: 434} conf_thresh=0.01
epoch 16 pred_counts: {4: 372, 6: 926, 7: 1011, 3: 788, 8: 496, 5: 735, 0: 647, 9: 814, 1: 603, 13: 476, 2: 623, 10: 596, 12: 606, 11: 820} conf_thresh=0.01
epoch 17 pred_counts: {4: 415, 6: 676, 5: 852, 3: 598, 7: 791, 8: 841, 9: 733, 0: 441, 13: 1094, 1: 461, 10: 711, 2: 375, 11: 717, 12: 497} conf_thresh=0.01
epoch 18 pred_counts: {4: 207, 6: 544, 8: 938, 9: 558, 3: 481, 7: 891, 5: 903, 1: 503, 0: 574, 13: 690, 10: 294, 2: 449, 11: 803, 12: 674} conf_thresh=0.01
