epoch 1 pred_counts: {3: 2241, 10: 12438, 13: 13915, 2: 8876, 0: 5553, 4: 6589, 11: 7107, 6: 547, 12: 5008, 1: 4556, 8: 9312, 7: 485} conf_thresh=0.001
epoch 2 pred_counts: {4: 1614, 2: 2539, 8: 5925, 9: 3451, 7: 7899, 3: 5289, 0: 2207, 6: 2372, 5: 4035, 13: 538, 10: 401, 11: 1285, 1: 473, 12: 682} conf_thresh=0.001
epoch 3 pred_counts: {4: 1093, 1: 1006, 0: 2673, 6: 981, 5: 3819, 13: 1078, 9: 1612, 8: 1963, 3: 2477, 7: 1283, 10: 2124, 2: 1093, 12: 1820, 11: 2436} conf_thresh=0.001
epoch 4 pred_counts: {4: 1123, 9: 2671, 6: 2449, 7: 1359, 8: 1058, 0: 418, 10: 1169, 5: 2914, 12: 1201, 13: 690, 1: 387, 3: 1345, 2: 1120, 11: 1030} conf_thresh=0.001
epoch 5 pred_counts: {6: 2412, 4: 619, 9: 3073, 0: 1394, 5: 2726, 7: 2269, 1: 1735, 8: 934, 11: 1674, 3: 1232, 2: 190, 10: 851, 12: 941, 13: 827} conf_thresh=0.001
epoch 6 pred_counts: {4: 644, 5: 2330, 7: 2027, 6: 1961, 8: 1196, 9: 1604, 1: 1101, 0: 1101, 2: 1195, 13: 649, 12: 1014, 10: 1203, 3: 1610, 11: 1125} conf_thresh=0.001
epoch 7 pred_counts: {4: 570, 6: 1511, 9: 2299, 5: 1164, 10: 2157, 3: 1653, 8: 1773, 13: 670, 12: 1257, 7: 1404, 0: 1764, 2: 2533, 1: 656, 11: 2020} conf_thresh=0.001
epoch 8 pred_counts: {4: 625, 5: 2273, 6: 2049, 7: 2151, 9: 901, 8: 1389, 1: 1150, 13: 1163, 0: 1385, 3: 858, 10: 1381, 12: 1684, 2: 1235, 11: 1696} conf_thresh=0.001
epoch 9 pred_counts: {4: 597, 7: 2822, 6: 1301, 5: 1847, 9: 1435, 8: 1048, 13: 1225, 0: 2219, 1: 973, 11: 2298, 12: 1566, 10: 1823, 3: 813, 2: 922} conf_thresh=0.001
epoch 10 pred_counts: {4: 340, 5: 465, 0: 1043, 9: 810, 1: 1574, 6: 759, 12: 2351, 7: 1351, 2: 1443, 10: 348, 3: 1333, 8: 907, 11: 1058, 13: 503} conf_thresh=0.01
epoch 11 pred_counts: {4: 657, 6: 872, 7: 1519, 9: 985, 10: 1569, 5: 337, 0: 557, 8: 778, 3: 1192, 1: 851, 2: 699, 12: 377, 13: 455, 11: 407} conf_thresh=0.01
epoch 12 pred_counts: {4: 393, 9: 825, 6: 971, 10: 874, 7: 854, 5: 507, 2: 744, 8: 763, 1: 693, 11: 565, 12: 484, 3: 992, 0: 425, 13: 380} conf_thresh=0.01
epoch 13 pred_counts: {4: 202, 6: 1352, 13: 1269, 9: 707, 7: 1246, 5: 687, 11: 728, 8: 517, 3: 272, 1: 593, 12: 649, 10: 739, 0: 162, 2: 404} conf_thresh=0.01
epoch 14 pred_counts: {4: 407, 6: 788, 9: 1013, 7: 725, 5: 762, 1: 444, 8: 1123, 0: 500, 12: 927, 3: 611, 11: 608, 10: 399, 2: 1053, 13: 434} conf_thresh=0.01
epoch 15 pred_counts: {4: 448, 9: 927, 5: 888, 6: 734, 7: 938, 8: 559, 11: 739, 0: 427, 2: 605, 1: 603, 12: 449, 3: 565, 10: 440, 13: 415} conf_thresh=0.01
epoch 16 pred_counts: {4: 291, 6: 981, 7: 983, 5: 647, 9: 661, 8: 325, 1: 518, 11: 675, 10: 507, 3: 679, 0: 367, 13: 533, 2: 507, 12: 570} conf_thresh=0.01
epoch 17 pred_counts: {4: 345, 9: 999, 6: 664, 5: 711, 7: 843, 8: 690, 0: 385, 11: 601, 3: 580, 1: 444, 2: 641, 12: 514, 10: 297, 13: 400} conf_thresh=0.01
epoch 18 pred_counts: {4: 242, 6: 701, 9: 986, 7: 682, 10: 339, 5: 860, 11: 633, 8: 725, 0: 439, 12: 569, 3: 601, 2: 452, 1: 456, 13: 420} conf_thresh=0.01
epoch 19 pred_counts: {4: 248, 6: 676, 9: 653, 5: 669, 7: 854, 10: 436, 8: 614, 11: 488, 3: 573, 1: 398, 2: 385, 0: 384, 13: 474, 12: 423} conf_thresh=0.01
epoch 20 pred_counts: {4: 634, 5: 753, 6: 697, 7: 734, 10: 273, 9: 709, 3: 748, 8: 399, 0: 414, 1: 587, 11: 546, 2: 403, 13: 430, 12: 474} conf_thresh=0.01
epoch 21 pred_counts: {4: 281, 6: 776, 10: 390, 7: 822, 5: 827, 9: 850, 8: 579, 12: 649, 11: 544, 3: 611, 13: 587, 2: 476, 1: 523, 0: 458} conf_thresh=0.01
epoch 22 pred_counts: {4: 222, 6: 825, 5: 543, 9: 714, 10: 327, 7: 779, 8: 612, 13: 485, 12: 546, 1: 488, 2: 346, 11: 571, 3: 557, 0: 302} conf_thresh=0.01
epoch 23 pred_counts: {4: 246, 6: 508, 9: 724, 7: 785, 5: 546, 8: 385, 11: 542, 1: 497, 3: 559, 0: 323, 2: 430, 10: 247, 13: 429, 12: 377} conf_thresh=0.01
epoch 24 pred_counts: {4: 217, 6: 597, 9: 757, 7: 829, 10: 378, 5: 638, 8: 403, 1: 568, 3: 492, 11: 497, 12: 496, 2: 305, 0: 313, 13: 425} conf_thresh=0.01
epoch 25 pred_counts: {4: 214, 6: 444, 7: 752, 9: 769, 10: 402, 5: 714, 8: 453, 12: 500, 0: 389, 3: 497, 2: 304, 1: 458, 11: 564, 13: 409} conf_thresh=0.01
epoch 26 pred_counts: {4: 227, 6: 437, 7: 772, 5: 709, 9: 718, 10: 305, 8: 519, 11: 500, 1: 579, 3: 603, 2: 377, 12: 500, 0: 288, 13: 470} conf_thresh=0.01
epoch 27 pred_counts: {4: 219, 6: 495, 7: 719, 10: 334, 8: 512, 9: 636, 1: 496, 3: 555, 2: 384, 13: 465, 0: 338, 5: 607, 11: 481, 12: 530} conf_thresh=0.01
epoch 28 pred_counts: {4: 225, 6: 505, 7: 600, 5: 633, 9: 604, 8: 494, 3: 530, 12: 477, 11: 529, 2: 339, 1: 604, 0: 398, 10: 325, 13: 509} conf_thresh=0.01
epoch 29 pred_counts: {4: 218, 6: 539, 5: 607, 9: 636, 7: 691, 8: 473, 11: 502, 3: 603, 2: 284, 0: 270, 1: 468, 10: 319, 13: 446, 12: 483} conf_thresh=0.01
epoch 30 pred_counts: {4: 145, 6: 255, 7: 399, 8: 191, 9: 458, 3: 335, 1: 359, 0: 197, 10: 168, 5: 357, 2: 177, 13: 306, 11: 267, 12: 251} conf_thresh=0.05
epoch 31 pred_counts: {4: 143, 6: 252, 9: 406, 7: 381, 8: 199, 0: 173, 3: 307, 10: 184, 5: 407, 2: 170, 13: 288, 1: 323, 11: 245, 12: 301} conf_thresh=0.05
epoch 32 pred_counts: {4: 142, 6: 257, 9: 419, 7: 384, 8: 240, 0: 192, 3: 285, 10: 182, 5: 375, 2: 178, 13: 291, 1: 321, 11: 263, 12: 311} conf_thresh=0.05
epoch 33 pred_counts: {4: 148, 6: 266, 5: 360, 9: 423, 7: 388, 8: 214, 0: 165, 3: 288, 10: 179, 2: 168, 13: 293, 1: 314, 11: 243, 12: 281} conf_thresh=0.05
epoch 34 pred_counts: {4: 145, 6: 271, 5: 306, 9: 426, 7: 357, 8: 229, 0: 149, 3: 293, 10: 175, 2: 169, 13: 291, 1: 310, 11: 241, 12: 276} conf_thresh=0.05
epoch 35 pred_counts: {4: 144, 6: 262, 9: 436, 5: 260, 7: 385, 8: 221, 0: 136, 10: 184, 3: 304, 2: 169, 13: 297, 1: 296, 11: 262, 12: 277} conf_thresh=0.05
epoch 36 pred_counts: {4: 147, 6: 236, 9: 400, 5: 250, 7: 379, 8: 212, 0: 141, 10: 195, 3: 303, 2: 170, 13: 299, 1: 277, 11: 250, 12: 271} conf_thresh=0.05
epoch 37 pred_counts: {4: 144, 6: 225, 5: 260, 9: 364, 7: 346, 8: 197, 0: 152, 3: 291, 10: 193, 2: 172, 13: 293, 1: 267, 11: 250, 12: 269} conf_thresh=0.05
epoch 38 pred_counts: {4: 142, 6: 225, 5: 272, 9: 342, 7: 314, 8: 205, 0: 155, 3: 294, 10: 190, 2: 169, 13: 297, 1: 261, 11: 244, 12: 273} conf_thresh=0.05
epoch 39 pred_counts: {4: 141, 6: 226, 5: 271, 9: 351, 7: 320, 8: 204, 0: 156, 3: 291, 10: 185, 2: 170, 11: 251, 13: 297, 1: 261, 12: 262} conf_thresh=0.05
epoch 40 pred_counts: {4: 142, 6: 222, 5: 277, 7: 300, 9: 350, 8: 214, 0: 152, 3: 289, 10: 184, 2: 170, 13: 305, 11: 254, 1: 278, 12: 254} conf_thresh=0.05
epoch 41 pred_counts: {4: 141, 6: 224, 5: 290, 7: 295, 9: 341, 8: 218, 0: 157, 3: 293, 10: 178, 2: 172, 13: 305, 1: 269, 11: 257, 12: 241} conf_thresh=0.05
epoch 42 pred_counts: {4: 142, 6: 229, 5: 268, 7: 290, 8: 209, 9: 345, 0: 157, 3: 304, 10: 176, 2: 173, 13: 299, 1: 278, 11: 254, 12: 238} conf_thresh=0.05
epoch 43 pred_counts: {4: 142, 6: 241, 5: 258, 7: 274, 8: 204, 9: 335, 0: 159, 3: 296, 10: 171, 2: 174, 13: 300, 1: 281, 11: 254, 12: 250} conf_thresh=0.05
epoch 44 pred_counts: {4: 141, 6: 247, 5: 261, 7: 279, 8: 195, 9: 341, 0: 157, 3: 294, 10: 169, 2: 172, 13: 303, 1: 286, 11: 256, 12: 263} conf_thresh=0.05
