epoch 1 pred_counts: {1: 6228, 13: 1604, 12: 3909, 10: 8109, 11: 5753, 4: 3685, 2: 575, 8: 4699, 3: 7541, 7: 1180, 9: 27, 6: 2} conf_thresh=0.001
epoch 2 pred_counts: {4: 949, 5: 2569, 6: 2510, 3: 1816, 9: 4901, 0: 1928, 7: 1255, 8: 1180, 10: 810, 1: 751, 12: 1160, 11: 1218, 2: 2371, 13: 1219} conf_thresh=0.001
epoch 3 pred_counts: {4: 709, 6: 1569, 9: 1667, 7: 2605, 8: 2801, 0: 1259, 5: 3033, 12: 1136, 10: 1736, 3: 2017, 1: 910, 2: 1524, 13: 689, 11: 1872} conf_thresh=0.001
epoch 4 pred_counts: {4: 1389, 7: 2121, 8: 1884, 5: 2438, 6: 710, 0: 1009, 9: 855, 3: 2541, 2: 1470, 1: 597, 13: 1899, 12: 1906, 10: 1227, 11: 1243} conf_thresh=0.001
epoch 5 pred_counts: {5: 4419, 4: 573, 9: 5258, 8: 1766, 3: 2996, 6: 1382, 0: 779, 10: 602, 7: 1581, 12: 1172, 13: 1991, 1: 956, 2: 408, 11: 2428} conf_thresh=0.001
epoch 6 pred_counts: {6: 3423, 4: 577, 7: 3408, 5: 1625, 9: 2583, 0: 1207, 8: 1340, 1: 1392, 10: 2071, 2: 1130, 12: 2382, 3: 912, 11: 2568, 13: 937} conf_thresh=0.001
epoch 7 pred_counts: {4: 926, 7: 3450, 6: 979, 8: 1875, 0: 3157, 10: 763, 3: 746, 2: 4021, 12: 3330, 1: 612, 13: 1264, 9: 924, 11: 3100, 5: 533} conf_thresh=0.001
epoch 8 pred_counts: {6: 5253, 4: 648, 0: 763, 12: 3505, 7: 2746, 9: 2724, 8: 1446, 1: 1218, 10: 821, 3: 2494, 2: 417, 11: 3807, 13: 1383, 5: 684} conf_thresh=0.001
epoch 9 pred_counts: {4: 433, 7: 4453, 6: 3371, 10: 4249, 0: 378, 1: 2413, 9: 1369, 5: 1454, 8: 1316, 12: 1594, 3: 1405, 11: 1319, 2: 918, 13: 1124} conf_thresh=0.001
epoch 10 pred_counts: {4: 2153, 7: 3208, 9: 2597, 0: 3829, 13: 1489, 5: 2306, 8: 2504, 6: 493, 1: 1120, 10: 1278, 3: 512, 2: 1003, 11: 1677, 12: 716} conf_thresh=0.01
epoch 11 pred_counts: {4: 732, 7: 1672, 6: 812, 9: 671, 8: 957, 0: 521, 5: 563, 13: 553, 10: 512, 3: 500, 1: 362, 2: 645, 12: 594, 11: 1010} conf_thresh=0.01
epoch 12 pred_counts: {4: 394, 6: 854, 9: 967, 10: 392, 5: 894, 13: 865, 8: 807, 7: 745, 0: 489, 1: 655, 3: 668, 2: 456, 12: 531, 11: 780} conf_thresh=0.01
epoch 13 pred_counts: {6: 1035, 4: 313, 10: 1034, 5: 1368, 3: 249, 13: 1324, 9: 806, 7: 986, 0: 1181, 8: 616, 1: 482, 11: 491, 12: 778, 2: 430} conf_thresh=0.01
epoch 14 pred_counts: {4: 350, 6: 670, 5: 854, 12: 1507, 0: 897, 8: 1310, 7: 623, 13: 792, 9: 1112, 3: 781, 1: 392, 11: 279, 2: 460, 10: 425} conf_thresh=0.01
epoch 15 pred_counts: {4: 664, 10: 499, 0: 1502, 8: 812, 7: 694, 13: 497, 9: 728, 6: 520, 3: 679, 1: 469, 2: 337, 5: 519, 11: 499, 12: 551} conf_thresh=0.01
epoch 16 pred_counts: {4: 335, 6: 977, 7: 954, 9: 1089, 5: 412, 10: 1070, 1: 437, 8: 680, 3: 790, 11: 605, 0: 314, 13: 785, 2: 351, 12: 642} conf_thresh=0.01
epoch 17 pred_counts: {4: 343, 6: 690, 5: 614, 9: 918, 7: 744, 1: 625, 3: 625, 8: 621, 13: 719, 10: 547, 12: 693, 0: 768, 2: 439, 11: 809} conf_thresh=0.01
epoch 18 pred_counts: {4: 467, 6: 745, 8: 609, 9: 942, 0: 1136, 10: 825, 3: 644, 7: 649, 1: 494, 13: 526, 2: 474, 12: 610, 5: 605, 11: 591} conf_thresh=0.01
epoch 19 pred_counts: {4: 251, 7: 791, 9: 990, 6: 471, 10: 664, 8: 846, 3: 736, 1: 525, 0: 878, 5: 562, 2: 401, 11: 618, 13: 395, 12: 517} conf_thresh=0.01
epoch 20 pred_counts: {4: 413, 6: 703, 7: 938, 5: 655, 8: 703, 10: 657, 9: 843, 0: 734, 3: 845, 1: 463, 12: 581, 13: 468, 2: 597, 11: 598} conf_thresh=0.01
epoch 21 pred_counts: {4: 467, 6: 618, 5: 708, 0: 948, 8: 676, 9: 724, 10: 825, 7: 949, 3: 685, 1: 504, 2: 432, 13: 525, 12: 525, 11: 737} conf_thresh=0.01
epoch 22 pred_counts: {4: 313, 6: 597, 9: 652, 8: 812, 5: 795, 10: 587, 3: 590, 7: 752, 1: 509, 13: 492, 12: 476, 0: 541, 2: 383, 11: 656} conf_thresh=0.01
epoch 23 pred_counts: {4: 495, 6: 652, 10: 833, 9: 653, 7: 620, 8: 473, 1: 377, 0: 793, 13: 607, 3: 453, 12: 589, 5: 534, 2: 290, 11: 755} conf_thresh=0.01
epoch 24 pred_counts: {4: 664, 6: 778, 1: 675, 5: 471, 10: 750, 13: 622, 7: 722, 0: 949, 9: 639, 3: 359, 8: 661, 2: 501, 11: 644, 12: 459} conf_thresh=0.01
epoch 25 pred_counts: {4: 505, 5: 511, 6: 572, 7: 751, 8: 730, 10: 635, 9: 580, 1: 543, 13: 540, 0: 792, 3: 381, 2: 352, 11: 633, 12: 464} conf_thresh=0.01
epoch 26 pred_counts: {4: 230, 6: 494, 5: 598, 0: 1023, 10: 634, 7: 579, 9: 636, 8: 382, 12: 562, 3: 637, 1: 574, 13: 481, 11: 558, 2: 331} conf_thresh=0.01
epoch 27 pred_counts: {4: 300, 6: 518, 0: 924, 10: 754, 5: 591, 7: 595, 8: 554, 1: 595, 3: 715, 13: 533, 9: 555, 12: 425, 2: 486, 11: 574} conf_thresh=0.01
epoch 28 pred_counts: {4: 315, 6: 606, 0: 737, 5: 679, 7: 778, 9: 565, 1: 514, 8: 502, 10: 542, 11: 651, 13: 561, 3: 659, 12: 457, 2: 463} conf_thresh=0.01
epoch 29 pred_counts: {4: 380, 6: 578, 7: 749, 10: 548, 9: 589, 0: 733, 8: 569, 1: 525, 11: 583, 12: 544, 3: 465, 2: 478, 5: 603, 13: 477} conf_thresh=0.01
epoch 30 pred_counts: {4: 164, 6: 287, 5: 289, 7: 463, 0: 464, 8: 178, 1: 291, 9: 277, 3: 236, 10: 248, 2: 196, 13: 337, 12: 314, 11: 335} conf_thresh=0.05
epoch 31 pred_counts: {4: 147, 6: 268, 7: 409, 8: 179, 1: 334, 9: 292, 3: 230, 0: 388, 10: 358, 5: 256, 2: 181, 13: 338, 11: 421, 12: 343} conf_thresh=0.05
epoch 32 pred_counts: {4: 149, 6: 214, 7: 441, 8: 195, 1: 354, 9: 317, 3: 239, 0: 491, 10: 181, 5: 253, 2: 196, 13: 332, 11: 426, 12: 350} conf_thresh=0.05
epoch 33 pred_counts: {4: 152, 6: 276, 7: 477, 5: 222, 9: 297, 1: 323, 8: 201, 3: 212, 0: 363, 10: 227, 2: 230, 13: 333, 11: 319, 12: 313} conf_thresh=0.05
epoch 34 pred_counts: {4: 153, 6: 258, 7: 488, 9: 324, 1: 293, 8: 276, 3: 217, 0: 324, 10: 234, 5: 259, 2: 247, 13: 343, 11: 304, 12: 304} conf_thresh=0.05
epoch 35 pred_counts: {4: 162, 5: 350, 6: 271, 7: 505, 9: 327, 8: 324, 1: 268, 3: 194, 10: 250, 2: 223, 0: 296, 13: 349, 12: 315, 11: 293} conf_thresh=0.05
epoch 36 pred_counts: {4: 162, 6: 264, 5: 303, 7: 533, 9: 334, 8: 333, 1: 292, 3: 171, 10: 250, 2: 220, 0: 237, 13: 364, 12: 311, 11: 282} conf_thresh=0.05
epoch 37 pred_counts: {4: 154, 6: 248, 7: 501, 8: 330, 1: 297, 9: 363, 3: 187, 10: 248, 5: 235, 2: 233, 0: 279, 13: 301, 12: 320, 11: 299} conf_thresh=0.05
epoch 38 pred_counts: {4: 157, 6: 255, 7: 529, 8: 326, 1: 283, 9: 363, 3: 181, 10: 233, 5: 206, 2: 242, 0: 296, 13: 288, 12: 298, 11: 293} conf_thresh=0.05
epoch 39 pred_counts: {4: 159, 6: 266, 7: 540, 8: 303, 1: 268, 9: 351, 3: 179, 0: 334, 10: 228, 5: 208, 2: 222, 13: 283, 12: 306, 11: 293} conf_thresh=0.05
epoch 40 pred_counts: {4: 152, 6: 237, 7: 533, 8: 282, 1: 221, 9: 362, 3: 175, 0: 340, 10: 222, 5: 203, 2: 206, 13: 271, 11: 310, 12: 298} conf_thresh=0.05
epoch 41 pred_counts: {4: 153, 6: 233, 7: 537, 8: 267, 1: 220, 9: 357, 3: 169, 0: 341, 10: 219, 5: 221, 2: 208, 13: 275, 11: 291, 12: 303} conf_thresh=0.05
epoch 42 pred_counts: {4: 152, 6: 215, 7: 512, 8: 291, 1: 228, 9: 330, 10: 220, 3: 155, 5: 234, 2: 200, 0: 327, 13: 281, 12: 294, 11: 275} conf_thresh=0.05
epoch 43 pred_counts: {4: 155, 6: 207, 7: 489, 9: 310, 8: 291, 1: 227, 10: 220, 3: 153, 5: 244, 2: 187, 0: 310, 13: 276, 12: 288, 11: 275} conf_thresh=0.05
epoch 44 pred_counts: {4: 159, 6: 197, 7: 476, 9: 292, 8: 297, 1: 231, 10: 213, 3: 151, 5: 230, 2: 191, 0: 295, 13: 280, 12: 283, 11: 275} conf_thresh=0.05
epoch 45 pred_counts: {4: 161, 6: 186, 7: 442, 9: 288, 8: 309, 1: 223, 10: 214, 3: 150, 5: 232, 2: 185, 0: 286, 13: 279, 12: 279, 11: 267} conf_thresh=0.05
epoch 46 pred_counts: {4: 155, 6: 179, 7: 436, 9: 291, 8: 311, 1: 224, 10: 220, 3: 150, 5: 236, 2: 182, 0: 294, 13: 282, 12: 282, 11: 264} conf_thresh=0.05
epoch 47 pred_counts: {4: 160, 6: 184, 7: 434, 9: 289, 8: 304, 1: 223, 10: 231, 3: 157, 5: 231, 2: 181, 0: 302, 13: 282, 12: 272, 11: 268} conf_thresh=0.05
epoch 48 pred_counts: {4: 163, 6: 179, 7: 425, 9: 283, 8: 308, 1: 223, 10: 229, 3: 158, 5: 229, 2: 181, 0: 305, 13: 285, 12: 270, 11: 265} conf_thresh=0.05
epoch 49 pred_counts: {4: 164, 6: 177, 7: 412, 9: 279, 8: 325, 1: 223, 10: 221, 3: 157, 5: 227, 0: 307, 2: 179, 13: 287, 12: 271, 11: 274} conf_thresh=0.05
epoch 50 pred_counts: {4: 161, 6: 172, 7: 401, 9: 270, 8: 334, 1: 228, 10: 209, 3: 156, 5: 229, 2: 179, 0: 298, 13: 287, 12: 265, 11: 265} conf_thresh=0.05
epoch 51 pred_counts: {4: 158, 6: 168, 7: 392, 9: 264, 8: 334, 1: 230, 10: 204, 3: 155, 5: 231, 2: 177, 0: 288, 13: 286, 11: 267, 12: 267} conf_thresh=0.05
epoch 52 pred_counts: {4: 154, 6: 168, 7: 382, 9: 259, 8: 341, 1: 230, 10: 202, 3: 154, 5: 234, 2: 176, 0: 286, 13: 285, 11: 268, 12: 271} conf_thresh=0.05
epoch 53 pred_counts: {4: 154, 6: 163, 9: 259, 7: 373, 8: 341, 1: 235, 10: 201, 3: 154, 5: 222, 2: 174, 0: 283, 13: 285, 11: 260, 12: 276} conf_thresh=0.05
epoch 54 pred_counts: {4: 152, 6: 163, 7: 363, 9: 249, 8: 328, 1: 241, 10: 204, 3: 149, 5: 214, 2: 167, 0: 275, 13: 283, 11: 260, 12: 277} conf_thresh=0.05
epoch 55 pred_counts: {4: 153, 6: 162, 8: 329, 7: 351, 1: 246, 9: 247, 10: 204, 3: 149, 5: 208, 2: 160, 0: 272, 13: 280, 11: 256, 12: 277} conf_thresh=0.05
epoch 56 pred_counts: {4: 152, 6: 160, 8: 326, 7: 346, 1: 253, 9: 243, 10: 201, 3: 148, 5: 206, 2: 161, 0: 267, 13: 278, 11: 250, 12: 275} conf_thresh=0.05
epoch 57 pred_counts: {4: 151, 6: 162, 8: 330, 7: 331, 1: 257, 9: 237, 10: 202, 3: 148, 5: 205, 2: 158, 0: 265, 13: 279, 11: 250, 12: 271} conf_thresh=0.05
epoch 58 pred_counts: {4: 151, 6: 162, 8: 333, 7: 326, 1: 263, 9: 234, 10: 200, 3: 147, 5: 203, 2: 158, 0: 265, 13: 276, 11: 246, 12: 269} conf_thresh=0.05
epoch 59 pred_counts: {4: 149, 6: 161, 8: 328, 7: 316, 1: 268, 9: 234, 10: 198, 3: 146, 5: 199, 2: 156, 0: 261, 13: 276, 11: 245, 12: 261} conf_thresh=0.05
epoch 60 pred_counts: {4: 147, 6: 164, 8: 322, 7: 311, 1: 267, 9: 232, 10: 196, 3: 146, 5: 197, 2: 156, 0: 259, 13: 278, 11: 244, 12: 256} conf_thresh=0.05
epoch 61 pred_counts: {4: 147, 6: 166, 8: 322, 7: 307, 1: 265, 9: 224, 10: 196, 3: 142, 5: 193, 2: 156, 0: 250, 13: 278, 11: 241, 12: 261} conf_thresh=0.05
