epoch 1 pred_counts: {4: 5223, 0: 2560, 3: 2256, 13: 6289, 1: 19241, 10: 2069, 5: 252, 8: 10110, 12: 1291, 11: 977, 9: 192, 2: 639, 7: 12, 6: 170} conf_thresh=0.001
epoch 2 pred_counts: {4: 939, 13: 1934, 0: 2969, 10: 2086, 5: 4614, 9: 3333, 6: 1024, 7: 544, 1: 1719, 8: 586, 2: 2056, 3: 197, 11: 2098, 12: 192} conf_thresh=0.001
epoch 3 pred_counts: {4: 919, 3: 2596, 0: 1557, 13: 1560, 1: 2213, 9: 1702, 12: 912, 6: 1788, 11: 1125, 7: 675, 10: 1157, 8: 355, 5: 1060, 2: 139} conf_thresh=0.001
epoch 4 pred_counts: {4: 1072, 7: 1940, 6: 2967, 0: 2283, 10: 1557, 3: 1819, 1: 900, 5: 3448, 13: 1705, 12: 984, 8: 1383, 9: 3110, 2: 1506, 11: 615} conf_thresh=0.001
epoch 5 pred_counts: {4: 1191, 7: 1964, 13: 3867, 6: 1239, 10: 1548, 0: 1977, 1: 1248, 5: 2753, 3: 2324, 9: 1507, 8: 599, 2: 2004, 11: 1134, 12: 764} conf_thresh=0.001
epoch 6 pred_counts: {4: 1717, 6: 2260, 3: 883, 5: 5617, 13: 5374, 7: 2912, 8: 1678, 1: 1099, 9: 708, 11: 1772, 12: 1071, 10: 1017, 2: 982, 0: 847} conf_thresh=0.001
epoch 7 pred_counts: {4: 1017, 7: 3209, 6: 4016, 1: 4335, 0: 1217, 9: 4392, 3: 3644, 8: 3005, 12: 1395, 5: 1015, 10: 2751, 2: 898, 13: 884, 11: 1863} conf_thresh=0.001
epoch 8 pred_counts: {4: 1448, 9: 3369, 6: 3049, 7: 2084, 0: 2760, 1: 4204, 3: 4262, 8: 3490, 5: 1478, 13: 1138, 12: 1966, 2: 939, 11: 2372, 10: 539} conf_thresh=0.001
epoch 9 pred_counts: {4: 856, 6: 5102, 0: 1906, 7: 2924, 5: 3258, 3: 2418, 12: 2798, 13: 2150, 8: 2269, 1: 1383, 9: 1014, 10: 642, 2: 684, 11: 2149} conf_thresh=0.001
epoch 10 pred_counts: {7: 3533, 4: 1222, 6: 1891, 5: 3402, 11: 3287, 9: 766, 8: 1037, 1: 1225, 3: 625, 0: 406, 2: 1344, 10: 242, 13: 1242, 12: 1641} conf_thresh=0.01
epoch 11 pred_counts: {4: 873, 9: 975, 6: 767, 7: 1349, 3: 2255, 8: 779, 0: 1375, 10: 1300, 11: 730, 2: 364, 12: 924, 13: 577, 5: 841, 1: 490} conf_thresh=0.01
epoch 12 pred_counts: {6: 1077, 4: 1004, 9: 902, 7: 729, 3: 859, 10: 541, 0: 840, 5: 555, 11: 728, 8: 713, 1: 548, 2: 443, 12: 625, 13: 510} conf_thresh=0.01
epoch 13 pred_counts: {4: 328, 9: 1245, 7: 1013, 3: 961, 0: 1176, 8: 1139, 10: 909, 6: 965, 5: 766, 1: 546, 13: 507, 2: 379, 12: 474, 11: 406} conf_thresh=0.01
epoch 14 pred_counts: {4: 941, 6: 614, 7: 1008, 5: 617, 0: 1399, 8: 872, 9: 869, 1: 544, 3: 747, 13: 522, 12: 552, 10: 413, 2: 384, 11: 656} conf_thresh=0.01
epoch 15 pred_counts: {6: 974, 4: 390, 7: 930, 5: 607, 10: 671, 9: 744, 8: 875, 12: 730, 0: 1088, 1: 615, 11: 684, 3: 473, 13: 346, 2: 430} conf_thresh=0.01
epoch 16 pred_counts: {4: 592, 6: 486, 7: 842, 9: 1027, 8: 904, 13: 783, 10: 946, 1: 695, 3: 794, 0: 1043, 5: 927, 12: 537, 2: 663, 11: 572} conf_thresh=0.01
epoch 17 pred_counts: {4: 574, 6: 853, 5: 552, 8: 788, 7: 826, 9: 796, 0: 1331, 1: 579, 3: 345, 10: 652, 2: 270, 12: 540, 11: 628, 13: 486} conf_thresh=0.01
epoch 18 pred_counts: {6: 747, 4: 290, 7: 866, 5: 775, 9: 630, 0: 1011, 8: 746, 1: 581, 10: 482, 3: 470, 13: 458, 2: 285, 12: 502, 11: 502} conf_thresh=0.01
epoch 19 pred_counts: {4: 678, 6: 836, 7: 809, 5: 465, 0: 1175, 10: 1035, 8: 562, 3: 682, 9: 730, 1: 596, 12: 609, 13: 594, 2: 317, 11: 578} conf_thresh=0.01
epoch 20 pred_counts: {4: 931, 6: 729, 5: 682, 8: 946, 7: 877, 9: 653, 3: 600, 10: 669, 1: 517, 0: 991, 12: 749, 13: 544, 11: 573, 2: 361} conf_thresh=0.01
epoch 21 pred_counts: {4: 809, 6: 599, 8: 903, 9: 728, 7: 739, 5: 639, 10: 536, 0: 951, 1: 651, 13: 526, 3: 332, 2: 269, 11: 549, 12: 469} conf_thresh=0.01
epoch 22 pred_counts: {4: 699, 6: 672, 9: 715, 5: 569, 10: 827, 0: 1128, 7: 677, 8: 738, 1: 551, 3: 459, 13: 556, 12: 542, 2: 310, 11: 544} conf_thresh=0.01
epoch 23 pred_counts: {4: 515, 6: 602, 9: 744, 5: 718, 7: 770, 10: 933, 8: 440, 0: 1205, 1: 501, 13: 581, 3: 638, 2: 292, 12: 663, 11: 618} conf_thresh=0.01
epoch 24 pred_counts: {4: 441, 6: 718, 7: 804, 5: 665, 9: 714, 0: 1308, 13: 688, 10: 682, 8: 523, 1: 498, 11: 552, 3: 370, 2: 316, 12: 502} conf_thresh=0.01
epoch 25 pred_counts: {4: 467, 6: 705, 5: 728, 10: 746, 0: 1070, 7: 609, 9: 581, 8: 410, 1: 481, 11: 590, 13: 643, 3: 435, 2: 260, 12: 450} conf_thresh=0.01
epoch 26 pred_counts: {4: 656, 6: 725, 5: 669, 9: 608, 0: 1113, 8: 678, 7: 784, 10: 691, 3: 532, 13: 680, 11: 555, 1: 451, 2: 436, 12: 491} conf_thresh=0.01
epoch 27 pred_counts: {4: 697, 6: 608, 5: 687, 0: 1339, 9: 707, 8: 576, 7: 734, 10: 782, 1: 455, 13: 471, 3: 607, 2: 427, 12: 508, 11: 479} conf_thresh=0.01
epoch 28 pred_counts: {4: 407, 6: 672, 5: 587, 7: 785, 8: 744, 0: 988, 10: 700, 9: 585, 1: 511, 13: 487, 2: 309, 3: 414, 11: 466, 12: 428} conf_thresh=0.01
epoch 29 pred_counts: {4: 427, 6: 628, 5: 550, 0: 1152, 7: 746, 8: 711, 9: 640, 1: 496, 13: 503, 10: 669, 3: 425, 11: 513, 2: 277, 12: 432} conf_thresh=0.01
epoch 30 pred_counts: {4: 232, 6: 321, 5: 376, 7: 432, 9: 372, 8: 278, 1: 358, 13: 337, 0: 666, 10: 266, 3: 159, 2: 190, 11: 326, 12: 321} conf_thresh=0.05
epoch 31 pred_counts: {4: 194, 6: 261, 5: 251, 7: 459, 9: 407, 8: 284, 1: 287, 10: 359, 0: 448, 13: 331, 3: 182, 2: 190, 11: 284, 12: 335} conf_thresh=0.05
epoch 32 pred_counts: {4: 210, 6: 278, 7: 447, 9: 321, 8: 287, 0: 649, 10: 326, 1: 265, 3: 202, 5: 194, 2: 215, 13: 291, 11: 302, 12: 331} conf_thresh=0.05
