epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7708,1.97467,5.2038,1.44606,0.22557,0.15037,0.04963,0.02432,1.80391,4.57116,1.27587,0.000299517,0.000299517,0.000299517
2,56.9988,1.79261,3.14667,1.27641,0.52487,0.24903,0.22461,0.13761,1.6138,2.56074,1.19133,0.000596552,0.000596552,0.000596552
3,85.3112,1.75015,2.52232,1.23682,0.30511,0.47582,0.37128,0.21254,1.62589,2.49077,1.154,0.000887588,0.000887588,0.000887588
4,114.092,1.58097,2.09403,1.15887,0.6482,0.32533,0.4192,0.24893,1.4701,1.98791,1.11006,0.000882003,0.000882003,0.000882003
5,141.327,1.64802,2.32827,1.21358,0.55497,0.49517,0.57478,0.36026,1.40197,1.86006,1.06122,0.000873004,0.000873004,0.000873004
6,169.59,1.4985,1.97325,1.12376,0.70848,0.51175,0.60155,0.38314,1.34018,1.72184,1.05869,0.000864004,0.000864004,0.000864004
7,198.012,1.79071,2.14773,1.22404,0.73275,0.46759,0.58888,0.35503,1.41214,1.78681,1.10738,0.000855005,0.000855005,0.000855005
8,225.397,1.71762,1.87025,1.18041,0.72027,0.46654,0.55893,0.37096,1.29042,1.65235,1.06368,0.000846006,0.000846006,0.000846006
9,257.863,1.48749,1.65913,1.11831,0.83055,0.46026,0.58407,0.38934,1.24773,1.38321,1.02252,0.000837007,0.000837007,0.000837007
10,294.726,1.56029,1.593,1.11361,0.52353,0.5882,0.62805,0.43076,1.24108,1.35644,1.01372,0.000828008,0.000828008,0.000828008
11,328.454,1.57419,1.53982,1.1253,0.73136,0.66944,0.72153,0.47433,1.28163,1.20016,1.04392,0.000819009,0.000819009,0.000819009
12,359.43,1.51964,1.404,1.09586,0.73528,0.79336,0.76766,0.50426,1.25954,1.16536,1.02664,0.00081001,0.00081001,0.00081001
13,391.831,1.39994,1.30306,1.11551,0.67533,0.69213,0.73159,0.48905,1.18531,1.15218,0.99794,0.000801011,0.000801011,0.000801011
14,423.51,1.42915,1.28681,1.05026,0.82369,0.73632,0.80756,0.54703,1.22351,0.99052,0.99994,0.000792012,0.000792012,0.000792012
15,453.853,1.48621,1.31414,1.13842,0.85307,0.72468,0.82335,0.54252,1.24556,1.31059,1.0263,0.000783013,0.000783013,0.000783013
16,485.499,1.41367,1.30293,1.0731,0.64901,0.81339,0.83035,0.57303,1.17423,1.13407,1.00616,0.000774013,0.000774013,0.000774013
17,517.557,1.33937,1.20021,1.07168,0.77818,0.86877,0.85796,0.59588,1.14776,1.25914,1.00475,0.000765014,0.000765014,0.000765014
